Attracts,Bloom Description,Bloom Time,Common Name,Culture,Family,Flower,Formal Name,Fruit,Garden Uses,Height,Invasive,Leaf,Maintenance,Native Range,Noteworthy Characteristics,Other,Problems,Spread,Suggested Use,Sun,Tolerate,Type,Water,Zone
 Butterflies, White with yellow cup, April, splitcorona daffodil,NA, Amaryllidaceae, Showy,Narcissus Lemon Beauty, Showy,NA, 100 to 150 feet, , Evergreen, Low, Chile,NA,NA,NA, 050 to 075 feet, Annual, Full sun to part shade, Rabbit Deer Drought, Bulb, Medium, 4 to 8
 Butterflies, Greenishwhite, Seasonal bloomer, baby rubber plant,NA, Piperaceae, Insignificant,Peperomia obtusifolia, Showy,NA, 050 to 100 feet, , Evergreen, Low, Mexico to northern South America and West Indies,NA,NA,NA, 050 to 100 feet, Annual, Part shade, Rabbit Deer Drought, Herbaceous perennial, Medium, 10 to 12
 Butterflies, Nonflowering, Nonflowering, Japanese lady fern,NA, Athyriaceae, Insignificant,Deparia petersenii, Showy,NA, 100 to 200 feet, , Evergreen, Medium, Southeastern Asia,NA,NA,NA, 100 to 200 feet, Naturalize, Part shade to full shade, Rabbit, Fern, Medium to wet, 6 to 9
 Butterflies, Bluish green, June to August, wheat grass,NA, Poaceae, Showy,Elymus magellanicus Blue Tango, Showy,NA, 075 to 100 feet, , Colorful, Low, Southeastern Asia,NA,NA,NA, 075 to 100 feet, Naturalize, Full sun, Black Walnut, Ornamental grass, Medium, 5 to 8
 Butterflies, Red with goldgreen throat, June to July, daylily,NA, Asphodelaceae, Showy Fragrant,Hemerocallis Warrior Prince, Showy,NA, 150 to 200 feet, , Colorful, Low, Southeastern Asia,NA,NA,NA, 100 to 150 feet, Naturalize, Full sun to part shade, Rabbit Erosion Air Pollution, Herbaceous perennial, Medium, 3 to 9
 Butterflies, Greenishcream, April to May, boxwood,NA, Buxaceae, Insignificant,Buxus sempervirens Edgar Anderson, Showy,NA, 500 to 600 feet, , Evergreen, Medium, Southeastern Asia,NA, Winter Interest,NA, 400 to 500 feet, Hedge, Full sun to part shade, Rabbit Deer, Broadleaf evergreen, Medium, 6 to 8
 Butterflies, Orangish red, April, miscellaneous tulip,NA, Liliaceae, Showy Good Cut,Tulipa praestans Fusilier, Showy,NA, 050 to 075 feet, , Evergreen, Low, Southeastern Asia,NA, Winter Interest,NA, 050 to 075 feet, Hedge, Full sun, Black Walnut, Bulb, Medium, 3 to 8
 Butterflies, Green, Nonflowering, rough meadow grass,NA, Poaceae, Insignificant,Poa trivialis, Showy,NA, 025 to 025 feet, , Evergreen, Low, Temperate Regions,NA, Winter Interest,NA, 025 to 025 feet, Hedge, Part shade, Black Walnut, Turfgrass, Medium to wet, 3 to 7
 Birds Butterflies, White, April to May, bird cherry,NA, Rosaceae, Showy Fragrant,Prunus padus, Showy,NA, 2000 to 4000 feet, , Evergreen, Low, Temperate Asia Europe,NA, Winter Interest,NA, 2000 to 4000 feet, Shade Tree Street Tree Flowering Tree, Full sun to part shade, Black Walnut, Tree, Medium, 3 to 6
 Birds Butterflies, White petals with apricotpink corona, April, double daffodil,NA, Amaryllidaceae, Showy,Narcissus Delnashaugh, Showy,NA, 100 to 150 feet, , Evergreen, Low, Temperate Asia Europe,NA, Winter Interest,NA, 050 to 075 feet, Shade Tree Street Tree Flowering Tree, Full sun to part shade, Rabbit Deer Drought, Bulb, Medium, 3 to 8
 Birds Butterflies, Rose pink, June to September, clematis,NA, Ranunculaceae, Showy,Clematis Comtesse de Bouchaud, Showy,NA, 800 to 1200 feet, , Evergreen, Medium, Temperate Asia Europe,NA, Winter Interest,NA, 300 to 600 feet, Shade Tree Street Tree Flowering Tree, Full sun to part shade, Deer Black Walnut, Vine, Medium, 4 to 9
 Birds Butterflies, Pale pink flowers, May to June, astilbe,NA, Saxifragaceae, Showy Good Cut,Astilbe Sprite, Showy,NA, 100 to 150 feet, , Evergreen, Low, Temperate Asia Europe,NA, Winter Interest,NA, 100 to 150 feet, Shade Tree Street Tree Flowering Tree, Part shade to full shade, Rabbit Deer Heavy Shade Black Walnut, Herbaceous perennial, Medium, 4 to 9
 Birds Butterflies, White with yellow center stamens, May to July, snow poppy,NA, Papaveraceae, Showy,Eomecon chionantha, Showy,NA, 100 to 150 feet, , Evergreen, Low, Eastern China,NA, Winter Interest,NA, 100 to 300 feet, Naturalize, Full sun to part shade, Rabbit Deer Heavy Shade Black Walnut, Herbaceous perennial, Medium, 6 to 9
 Birds Butterflies, Dark red, April to May, sweet pitcher plant,NA, Sarraceniaceae, Showy Fragrant,Sarracenia rubra f jonesii, Showy,NA, 100 to 200 feet, , Colorful, High, North and South Carolina,NA, Winter Interest,NA, 100 to 200 feet, Water Plant Rain Garden, Full sun, Rabbit Deer Heavy Shade Black Walnut, Herbaceous perennial, Water Plant Rain Garden, 6 to 8
 Birds Butterflies, Orange with brown center cone, June to August, coneflower,NA, Asteraceae, Showy Fragrant,Echinacea Arts Pride ORANGE MEADOWBRITE, Showy,NA, 200 to 300 feet, , Colorful, Low, North and South Carolina,NA, Winter Interest,NA, 150 to 250 feet, Water Plant Rain Garden, Full sun to part shade, Deer Drought Clay Soil Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 3 to 8
 Hummingbirds Butterflies, Pink to violetpink, March to April, dahurian rhododendron,NA, Ericaceae, Showy,Rhododendron dauricum, Showy,NA, 400 to 600 feet, , Evergreen, Medium, Eastern Siberia Mongolia northern China Japan,NA, Winter Interest,NA, 400 to 600 feet, Hedge, Part shade, Rabbit, Broadleaf evergreen, Medium, 5 to 8
 Hummingbirds Butterflies, Watermelon red, June to September, crape myrtle,NA, Lythraceae, Showy,Lagerstroemia indica Houston, Showy,NA, 100 to 200 feet, , Evergreen, Medium, Eastern Siberia Mongolia northern China Japan,NA, Winter Interest,NA, 100 to 200 feet, Hedge, Full sun, Drought Clay Soil Air Pollution, Deciduous shrub, Medium, 6 to 9
 Hummingbirds Butterflies, Green, March to April, elm,NA, Ulmaceae, Insignificant,Ulmus Morton ACCOLADE, Showy,NA, 5000 to 6000 feet, , Good Fall, Low, Eastern Siberia Mongolia northern China Japan,NA, Winter Interest,NA, 2500 to 4000 feet, Shade Tree Street Tree, Full sun, Air Pollution, Tree, Medium, 4 to 9
 Butterflies, Creamy white, May, peony,NA, Paeoniaceae, Showy Fragrant,Paeonia lactiflora Alley Cat, Showy,NA, 250 to 300 feet, , Good Fall, Medium, Eastern Siberia Mongolia northern China Japan,NA, Winter Interest,NA, 250 to 300 feet, Shade Tree Street Tree, Full sun to part shade, Rabbit Deer, Herbaceous perennial, Medium, 3 to 8
 Butterflies, Yellow orange red, Seasonal bloomer, pocketbook plant,NA, Calceolariaceae, Showy,Calceolaria Herbeohybrida Group, Showy,NA, 050 to 100 feet, , Good Fall, High, Eastern Siberia Mongolia northern China Japan,NA, Winter Interest,NA, 050 to 100 feet, Annual, Part shade to full shade, Rabbit Deer, Herbaceous perennial, Medium, 10 to 11
 Butterflies, Bluish purple, May, Japanese wisteria,NA, Fabaceae, Showy Fragrant,Wisteria floribunda Texas Purple, Showy,NA, 2000 to 2500 feet, , Good Fall, High, Eastern Siberia Mongolia northern China Japan,NA, Winter Interest,NA, 400 to 800 feet, Annual, Full sun, Deer, Vine, Medium, 5 to 9
 Hummingbirds Butterflies, Light purple fading to white, April to May, azalea,NA, Ericaceae, Showy,Rhododendron Arctic Glow, Showy,NA, 300 to 500 feet, , Good Fall, Medium, Eastern Siberia Mongolia northern China Japan,NA, Winter Interest,NA, 300 to 500 feet, Hedge, Part shade, Rabbit, Deciduous shrub, Medium, 5 to 8
 Butterflies, Pink, April to May, wild pink,NA, Caryophyllaceae, Showy,Silene caroliniana, Showy,NA, 075 to 100 feet, , Good Fall, Medium, North America,NA, Winter Interest,NA, 075 to 100 feet, Hedge, Full sun to part shade, Drought Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 5 to 8
 Birds Butterflies, White, May to June, yellow twig dogwood,NA, Cornaceae, Showy,Cornus sericea Flaviramea, Showy,NA, 500 to 600 feet, , Good Fall, Medium, North America,NA, Winter Interest,NA, 500 to 600 feet, Hedge Rain Garden, Full sun to part shade, Deer Erosion Clay Soil Wet Soil, Deciduous shrub, Medium to wet, 3 to 8
 Hummingbirds Butterflies, White, June, buttonbush,NA, Rubiaceae, Showy Fragrant,Cephalanthus occidentalis, Showy,NA, 500 to 1200 feet, , Good Fall, Low, North America,NA, Winter Interest,NA, 400 to 800 feet, Naturalize Rain Garden, Full sun to part shade, Erosion Wet Soil, Deciduous shrub, Medium to wet, 5 to 9
 Hummingbirds Butterflies, Dark red, April to May, Florida anise tree,NA, Schisandraceae, Showy Fragrant,Illicium floridanum, Showy,NA, 600 to 1000 feet, , Fragrant Evergreen, Medium, Southeastern United States northern Mexico,NA, Winter Interest,NA, 400 to 800 feet, Naturalize Rain Garden, Part shade to full shade, Heavy Shade Erosion Wet Soil, Broadleaf evergreen, Medium to wet, 7 to 10
 Butterflies, Lavender blue, June to September, aster,NA, Asteraceae, Showy Good Cut,Aster  frikartii Monch, Showy,NA, 200 to 300 feet, , Fragrant Evergreen, Medium, Southeastern United States northern Mexico,NA, Winter Interest,NA, 100 to 150 feet, Naturalize Rain Garden, Full sun to part shade, Heavy Shade Erosion Wet Soil, Herbaceous perennial, Medium, 5 to 10
 Hummingbirds, Orange, June to July, red hot poker,NA, Asphodelaceae, Showy,Kniphofia Elvira, Showy,NA, 200 to 300 feet, , Fragrant Evergreen, Medium, Southeastern United States northern Mexico,NA, Winter Interest,NA, 150 to 200 feet, Naturalize Rain Garden, Full sun, Rabbit Deer Drought Dry Soil, Herbaceous perennial, Dry to medium, 6 to 9
 Hummingbirds, Pink, May to July, Japanese spirea,NA, Rosaceae, Showy,Spiraea japonica Limemound, Showy,NA, 200 to 300 feet, , Colorful Good Fall, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 300 to 400 feet, Hedge, Full sun, Deer Erosion Clay Soil Air Pollution, Deciduous shrub, Medium, 3 to 8
 Butterflies, Purple, July to September, Joe Pye weed,NA, Asteraceae, Showy Fragrant,Eutrochium dubium Baby Joe, Showy,NA, 200 to 300 feet, , Colorful Good Fall, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 100 to 200 feet, Rain Garden, Full sun to part shade, Deer Clay Soil Wet Soil, Herbaceous perennial, Medium to wet, 3 to 9
 Butterflies, Yellow, March to April, greenstem forsythia,NA, Oleaceae, Showy,Forsythia viridissima Bronxensis, Showy,NA, 075 to 100 feet, , Colorful Good Fall, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 200 to 300 feet, Rain Garden, Full sun to part shade, Deer Clay Soil Black Walnut, Deciduous shrub, Medium, 6 to 8
 Butterflies, Redpurple, April, lungwort,NA, Boraginaceae, Showy,Pulmonaria May Bouquet, Showy,NA, 075 to 100 feet, , Colorful, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 100 to 150 feet, Ground Cover Naturalize, Part shade to full shade, Deer Heavy Shade Black Walnut, Herbaceous perennial, Medium, 4 to 9
 Birds Butterflies, White, April, Koreanspice viburnum,NA, Adoxaceae, Showy Fragrant,Viburnum carlesii Compactum, Showy,NA, 250 to 400 feet, , Colorful, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 250 to 400 feet, Hedge, Full sun to part shade, Black Walnut, Deciduous shrub, Medium, 4 to 7
 Birds Butterflies, Nonflowering, Nonflowering, white spruce,NA, Pinaceae, Showy Fragrant,Picea glauca Cecilia, Showy,NA, 150 to 200 feet, , Colorful Evergreen, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 150 to 200 feet, Hedge, Full sun, Deer, Needled evergreen, Medium, 3 to 6
 Birds Butterflies, Green, Seasonal bloomer, fig,NA, Moraceae, Insignificant,Ficus carica Brown Turkey, Showy Edible,NA, 1000 to 3000 feet, , Colorful Evergreen, Medium, Southeastern United States northern Mexico,NA, Winter Interest,NA, 1000 to 3000 feet, Hedge, Full sun to part shade, Deer, Fruit, Medium, 6 to 9
 Birds Butterflies, White, August to September, bugbane,NA, Ranunculaceae, Showy Fragrant,Actaea simplex Atropurpurea Group, Showy Edible,NA, 400 to 600 feet, , Colorful, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 200 to 400 feet, Hedge, Part shade to full shade, Deer, Herbaceous perennial, Medium, 3 to 8
 Hummingbirds, Deep pink, July to September, lobelia,NA, Campanulaceae, Showy,Lobelia  speciosa Compliment Deep Pink, Showy Edible,NA, 200 to 300 feet, , Colorful, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 100 to 200 feet, Annual Rain Garden, Full sun to part shade, Deer Wet Soil, Herbaceous perennial, Medium to wet, 5 to 8
 Hummingbirds, White, April, Japanese pieris,NA, Ericaceae, Showy,Pieris japonica Nocturne, Showy Edible,NA, 100 to 200 feet, , Colorful Evergreen, High, Southeastern United States northern Mexico,NA, Winter Interest,NA, 150 to 250 feet, Annual Rain Garden, Full sun to part shade, Deer Heavy Shade, Broadleaf evergreen, Medium, 5 to 8
 Butterflies, Deep magenta w dark red sepals, April to July, bigroot geranium,NA, Geraniaceae, Showy,Geranium macrorrhizum Bevans Variety, Showy Edible,NA, 075 to 100 feet, , Fragrant Good Fall, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 150 to 200 feet, Ground Cover Naturalize, Full sun to part shade, Rabbit Deer Drought Erosion Dry Soil, Herbaceous perennial, Dry to medium, 3 to 8
 Butterflies, Pinkishwhite, May to June, ninebark,NA, Rosaceae, Showy,Physocarpus opulifolius Seward SUMMER WINE, Showy Edible,NA, 400 to 600 feet, , Colorful, Medium, Southeastern United States northern Mexico,NA, Winter Interest,NA, 400 to 600 feet, Hedge, Full sun to part shade, Drought Erosion Clay Soil Dry Soil ShallowRocky Soil, Deciduous shrub, Dry to medium, 3 to 8
 Butterflies, White with purple spotting, August to September, toad lily,NA, Liliaceae, Showy,Tricyrtis formosana Gilt Edge, Showy Edible,NA, 100 to 150 feet, , Colorful, Low, Southeastern United States northern Mexico,NA, Winter Interest,NA, 100 to 200 feet, Naturalize, Part shade to full shade, Drought Erosion Clay Soil Dry Soil ShallowRocky Soil, Herbaceous perennial, Medium to wet, 5 to 8
 Butterflies, Red, Rarely flowers, New Zealand flax,NA, Asphodelaceae, Showy,Phormium tenax, Showy Edible,NA, 100 to 600 feet, , Colorful Evergreen, Low, New Zealand,NA, Winter Interest,NA, 100 to 300 feet, Naturalize, Full sun to part shade, Drought Erosion Clay Soil Dry Soil ShallowRocky Soil, Herbaceous perennial, Medium, 9 to 11
 Butterflies, Pink, May to June, foam flower,NA, Saxifragaceae, Showy Fragrant,Tiarella Pink Skyrocket, Showy Edible,NA, 050 to 100 feet, , Colorful Good Fall, Low, New Zealand,NA, Winter Interest,NA, 075 to 100 feet, Naturalize, Part shade to full shade, Deer, Herbaceous perennial, Medium, 4 to 9
 Butterflies, Pink, Seasonal bloomer, weeping fig,NA, Moraceae, Insignificant,Ficus benjamina Variegata, Showy Edible,NA, 3000 to 4000 feet, , Evergreen, Low, New Zealand,NA, Winter Interest,NA, 2500 to 3000 feet, Naturalize, Full sun to part shade, Drought, Broadleaf evergreen, Medium, 10 to 12
 Birds, Greenish white, April to June, deerberry,NA, Ericaceae, Showy,Vaccinium stamineum, Showy Edible,NA, 300 to 600 feet, , Good Fall, Low, Eastern North America,NA, Winter Interest,NA, 300 to 600 feet, Hedge Naturalize, Full sun to part shade, Drought, Deciduous shrub, Medium, 5 to 9
 Butterflies, Yellow, April to May, madwort,NA, Brassicaceae, Showy Fragrant,Alyssum wulfenianum Golden Spring, Showy Edible,NA, 050 to 075 feet, , Fragrant Evergreen, Low, Eastern North America,NA, Winter Interest,NA, 100 to 150 feet, Ground Cover, Full sun, Rabbit Deer Drought Dry Soil, Herbaceous perennial, Dry to medium, 4 to 9
 Butterflies, Nonflowering, Nonflowering, Scotch pine,NA, Pinaceae, Showy Fragrant,Pinus sylvestris Fastigiata, Showy Edible,NA, 2000 to 2500 feet, , Evergreen, Low, Eastern North America,NA, Winter Interest,NA, 600 to 800 feet, Ground Cover, Full sun, Deer, Needled evergreen, Medium, 3 to 7
 Butterflies, Lavender blue, August to September, blue trumpet vine,NA, Acanthaceae, Showy,Thunbergia grandiflora, Showy Edible,NA, 1500 to 3000 feet, , Evergreen, Low, Southeastern tropical Asia,NA, Winter Interest,NA, 300 to 600 feet, Annual, Full sun to part shade, Deer, Vine, Medium, 10 to 11
 Butterflies, Nonflowering, Nonflowering, Japanese red pine,NA, Pinaceae, Showy,Pinus densiflora Alice Verkade, Showy Edible,NA, 200 to 300 feet, , Evergreen, Medium, Southeastern tropical Asia,NA, Winter Interest,NA, 200 to 700 feet, Annual, Full sun, Deer, Needled evergreen, Medium, 3 to 7
 Butterflies, Pink, May to June, peony,NA, Paeoniaceae, Showy Fragrant Good Cut,Paeonia lactiflora Madame Calot, Showy Edible,NA, 300 to 325 feet, , Evergreen, Medium, Southeastern tropical Asia,NA, Winter Interest,NA, 250 to 300 feet, Annual, Full sun to part shade, Rabbit Deer Clay Soil, Herbaceous perennial, Medium, 3 to 8
 Birds Hummingbirds Butterflies, Pinkish white, April, semidwarf apple,NA, Rosaceae, Showy Fragrant Good Cut,Malus pumila Coop 30 ENTERPRISE, Showy Edible,NA, 1200 to 1500 feet, , Evergreen, High, Southeastern tropical Asia,NA, Winter Interest,NA, 1200 to 1500 feet, Flowering Tree, Full sun, Air Pollution, Fruit, Medium, 5 to 8
 Birds Hummingbirds Butterflies, Pink, June to July, coral bells,NA, Saxifragaceae, Showy,Heuchera Miracle, Showy Edible,NA, 075 to 150 feet, , Colorful, Medium, Southeastern tropical Asia,NA, Winter Interest,NA, 075 to 100 feet, Flowering Tree, Full sun to part shade, Air Pollution, Herbaceous perennial, Medium, 4 to 8
 Birds Hummingbirds Butterflies, Yellowgreen, July to August, Japanese forest grass,NA, Poaceae, Showy,Hakonechloa macra Aureola, Showy Edible,NA, 100 to 150 feet, , Colorful, Low, Southeastern tropical Asia,NA, Winter Interest,NA, 100 to 150 feet, Naturalize, Part shade, Deer Black Walnut Air Pollution, Ornamental grass, Medium, 5 to 9
 Birds Hummingbirds Butterflies, Silvery pink to white, September to February, bushy bluestem,NA, Poaceae, Showy,Andropogon glomeratus, Showy Edible,NA, 300 to 600 feet, , Good Fall, Low, Central America West Indies,NA, Winter Interest,NA, 200 to 300 feet, Naturalize Rain Garden, Full sun, Deer Black Walnut Air Pollution, Ornamental grass, Medium to wet, 5 to 9
 Birds Hummingbirds Butterflies, Greenish yellow, April, miyabe maple,NA, Sapindaceae, Insignificant,Acer miyabei Morton STATE STREET, Showy Edible,NA, 3000 to 4000 feet, , Good Fall, Low, Central America West Indies,NA, Winter Interest,NA, 3000 to 4000 feet, Shade Tree Street Tree, Full sun to part shade, Deer Black Walnut Air Pollution, Tree, Medium, 4 to 8
 Birds Hummingbirds Butterflies, Green, April, Chinese elm,NA, Ulmaceae, Insignificant,Ulmus parvifolia Dynasty, Showy Edible,NA, 2000 to 3000 feet, , Good Fall, Low, Central America West Indies,NA, Winter Interest,NA, 2000 to 3000 feet, Shade Tree Street Tree, Full sun, Drought Clay Soil Dry Soil ShallowRocky Soil Air Pollution, Tree, Dry to medium, 5 to 9
 Birds Hummingbirds Butterflies, Pale blue, February to March, scilla,NA, Asparagaceae, Showy,Scilla mischtschenkoana Tubergeniana, Showy Edible,NA, 025 to 050 feet, , Good Fall, Low, Central America West Indies,NA, Winter Interest,NA, 025 to 050 feet, Naturalize, Full sun to part shade, Rabbit Deer, Bulb, Medium, 4 to 8
 Birds Hummingbirds Butterflies, Green, September, Chinese elm,NA, Ulmaceae, Insignificant,Ulmus parvifolia Emer II ALLEE, Showy Edible,NA, 6000 to 7000 feet, , Good Fall, Low, Central America West Indies,NA, Winter Interest,NA, 3500 to 5500 feet, Shade Tree Street Tree, Full sun, Drought Clay Soil Air Pollution, Tree, Medium, 4 to 9
 Birds, White with purplepink bristles, July to October, fountain grass,NA, Poaceae, Showy,Pennisetum setaceum Sky Rocket, Showy Edible,NA, 200 to 300 feet, , Colorful, Low, Central America West Indies,NA, Winter Interest,NA, 100 to 200 feet, Annual, Full sun to part shade, Black Walnut Air Pollution, Ornamental grass, Medium, 9 to 10
 Butterflies, Pure white with no eye, July to October, rose of Sharon,NA, Malvaceae, Showy,Hibiscus syriacus Diana, Showy Edible,NA, 500 to 800 feet, , Colorful, Low, Central America West Indies,NA, Winter Interest,NA, 400 to 600 feet, Hedge, Full sun to part shade, Deer Drought Clay Soil Black Walnut, Deciduous shrub, Medium, 5 to 8
 Hummingbirds Butterflies, Purplishpink, June to October, smooth phlox,NA, Polemoniaceae, Showy Fragrant Good Cut,Phlox glaberrima var triflora Forever Pink, Showy Edible,NA, 100 to 150 feet, , Colorful, Medium, Central America West Indies,NA, Winter Interest,NA, 100 to 150 feet, Naturalize, Full sun to part shade, Deer Clay Soil, Herbaceous perennial, Medium, 4 to 8
 Butterflies, Pastel pink, August to September, New England aster,NA, Asteraceae, Showy Good Cut,Symphyotrichum novaeangliae KICKIN PINK CHIFFON, Showy Edible,NA, 100 to 150 feet, , Colorful, Low, Central America West Indies,NA, Winter Interest,NA, 100 to 150 feet, Naturalize Rain Garden, Full sun, Clay Soil, Herbaceous perennial, Medium, 4 to 8
 Butterflies, White double, May to September, climbing tea rose,NA, Rosaceae, Showy Fragrant,Rosa Sombreuil, Showy,NA, 800 to 1200 feet, , Colorful, Medium, Central America West Indies,NA, Thorns,NA, 300 to 600 feet, Naturalize Rain Garden, Full sun, Clay Soil, Deciduous shrub, Medium, 6 to 9
 Butterflies, Cherry red with yellow throat, May to September, Cape fuchsia,NA, Scrophulariaceae, Showy,Phygelius Blacher CHERRY RIPE, Showy,NA, 200 to 300 feet, , Colorful, Medium, Central America West Indies,NA, Thorns,NA, 200 to 300 feet, Annual, Full sun to part shade, Clay Soil, Broadleaf evergreen, Medium, 7 to 10
 Butterflies, Coral red, June to July, coral bells,NA, Saxifragaceae, Showy,Heuchera Oakington Jewel, Showy,NA, 150 to 250 feet, , Colorful, Medium, Central America West Indies,NA, Thorns,NA, 100 to 150 feet, Annual, Full sun to part shade, Clay Soil, Herbaceous perennial, Medium, 4 to 9
 Butterflies, Yellow, August to October, wingstem,NA, Asteraceae, Showy,Verbesina alternifolia, Showy,NA, 400 to 800 feet, , Colorful, Low, Eastern North America,NA, Thorns,NA, 200 to 600 feet, Naturalize, Full sun to part shade, Clay Soil, Herbaceous perennial, Medium, 4 to 8
 Birds, Yellow, Flowers not showy, sorghum,NA, Poaceae, Flowers not showy,Sorghum bicolor, Showy,NA, 200 to 300 feet, , Colorful, Low, China South Africa,NA, Thorns,NA, 200 to 300 feet, Annual Vegetable, Full sun, Clay Soil, Annual, Medium, 2 to 11
 Birds, Creamy pinkyellow with pale green throat, June to July, daylily,NA, Asphodelaceae, Showy Fragrant,Hemerocallis If I Were a Shepherd, Showy,NA, 200 to 250 feet, , Colorful, Low, China South Africa,NA, Thorns,NA, 200 to 250 feet, Annual Vegetable, Full sun to part shade, Rabbit, Herbaceous perennial, Medium, 3 to 9
 Birds, Nonflowering, Nonflowering, yew,NA, Taxaceae, Showy Fragrant,Taxus  media Smokestack, Showy,NA, 600 to 1200 feet, , Evergreen, Low, China South Africa,NA, Winter Interest,NA, 200 to 400 feet, Annual Vegetable, Full sun to part shade, Rabbit Drought Heavy Shade, Needled evergreen, Medium, 4 to 7
 Butterflies, Pink, May to July, Japanese spirea,NA, Rosaceae, Showy,Spiraea japonica Yan DOUBLE PLAY GOLD, Showy,NA, 150 to 200 feet, , Colorful, Low, China South Africa,NA, Winter Interest,NA, 200 to 300 feet, Hedge, Full sun, Deer Air Pollution, Herbaceous perennial, Medium, 4 to 8
 Butterflies, Green and purple spathe with white stripes, April, Japanese spirea,NA, Araceae, Showy,Arisaema angustatum var peninsulae, Showy,NA, 300 to 400 feet, , Colorful, Medium, China South Africa,NA, Winter Interest,NA, 100 to 150 feet, Rain Garden, Part shade to full shade, Heavy Shade, Herbaceous perennial, Medium to wet, 5 to 9
 Butterflies, Yellowgreen, July to August, meadow rue,NA, Ranunculaceae, Showy,Thalictrum squarrosum, Showy,NA, 300 to 500 feet, , Colorful, Medium, China,NA, Winter Interest,NA, 200 to 400 feet, Naturalize, Full sun to part shade, Heavy Shade, Herbaceous perennial, Medium, 5 to 9
